ID,NAME,HASHED PASSWORD,LEVEL,LICENSE,LICENSE EXPIRY
0,MURRAY MELLER,017de3e27497d9f919815d3959593b58,User,,
1,MURRAY MELLER,017de3e27497d9f919815d3959593b58,User,ABC123,1000
2,MURRAY MELLER,,,,
4,EuanS,017de3e27497d9f919815d3959593b58,User,,
5,employee,017de3e27497d9f919815d3959593b58,Employee,,
6,MurrayMeller,017de3e27497d9f919815d3959593b58,User,,
7,ALANFACE,bf9a558385bcbac7369776d4ec15618c,User,,
8,12345,017de3e27497d9f919815d3959593b58,User,,
9,123456,017de3e27497d9f919815d3959593b58,Employee,,
10,testUser,017de3e27497d9f919815d3959593b58,User,,
